Model,Variable,Estimate,Std. Error,t value,Pr(>|t|),Confidence Interval (lower bound): 2.5%,Confidence Interval (upper bound): 97.5%
full_hor_ptb,acres_ag_land_per_sqr_mile,-0.001155157,0.00036455,-3.168719961,0.001549147,-0.001869662,-0.000440652
full_hor_ptb,all_hormone_wells,1.648839186,0.386284939,4.268453211,2.04E-05,0.891734619,2.405943753
full_hor_ptb,asian,-0.022467346,0.024061851,-0.93373306,0.350529528,-0.069627707,0.024693016
full_hor_ptb,ba,-0.032960868,0.006393291,-5.155539972,2.72E-07,-0.045491488,-0.020430248
full_hor_ptb,black,0.064007371,0.013352958,4.793497598,1.73E-06,0.037836055,0.090178687
full_hor_ptb,drug_death_per_100000,-0.001480095,0.000562866,-2.629569888,0.008600386,-0.002583292,-0.000376898
full_hor_ptb,fertilizer_per_sqr_mile,-0.002740164,0.001391909,-1.96863697,0.049102355,-0.005468257,-1.21E-05
full_hor_ptb,herbicide_per_sqr_mile,0.00112909,0.001153638,0.978721261,0.327810059,-0.001131999,0.00339018
full_hor_ptb,hispanic,-0.008954527,0.004016816,-2.229259938,0.025882938,-0.016827342,-0.001081712
full_hor_ptb,hs,-0.028576727,0.010932563,-2.613909225,0.009003645,-0.050004157,-0.007149298
full_hor_ptb,insecticide_per_sqr_mile,0.001787933,0.000950323,1.881395786,0.060031308,-7.47E-05,0.003650532
full_hor_ptb,insured,0.003630711,0.009654233,0.376074491,0.706892631,-0.015291239,0.02255266
full_hor_ptb,marital,-0.017188256,0.008451669,-2.033711496,0.042083459,-0.033753223,-0.00062329
full_hor_ptb,maternal_care_code,-0.178378846,0.078324287,-2.277439758,0.022841978,-0.331891628,-0.024866064
full_hor_ptb,multiracial,0.027201662,0.025595567,1.062748946,0.2879959,-0.022964728,0.077368051
full_hor_ptb,native,0.024479959,0.014588413,1.678041199,0.093460926,-0.004112806,0.053072724
full_hor_ptb,pacific,0.105967624,0.096622452,1.096718435,0.272867487,-0.083408901,0.295344149
full_hor_ptb,pop_per_sqr_mile,0.000141124,8.29E-05,1.702069471,0.088863569,-2.14E-05,0.000303631
full_hor_ptb,poverty,0.056569173,0.009655225,5.858917936,5.26E-09,0.037645279,0.075493067
full_hor_ptb,white,0.013643254,0.012629914,1.080233285,0.280139908,-0.011110923,0.038397431
full_est_ptb,acres_ag_land_per_sqr_mile,-0.001178075,0.00036465,-3.230704616,0.001250476,-0.001892775,-0.000463375
full_est_ptb,all_est_wells,2.85504667,0.756408068,3.774479398,0.000163979,1.372514099,4.337579241
full_est_ptb,asian,-0.024603857,0.024057563,-1.022707817,0.306542495,-0.071755814,0.022548099
full_est_ptb,ba,-0.033237409,0.006396733,-5.195997268,2.20E-07,-0.045774776,-0.020700042
full_est_ptb,black,0.062312622,0.01333647,4.672347373,3.13E-06,0.03617362,0.088451623
full_est_ptb,drug_death_per_100000,-0.001460007,0.000563518,-2.590879341,0.009627366,-0.002564483,-0.000355532
full_est_ptb,fertilizer_per_sqr_mile,-0.002845132,0.00139298,-2.042478236,0.041206204,-0.005575324,-0.000114941
full_est_ptb,herbicide_per_sqr_mile,0.001198287,0.00115429,1.038116134,0.299313879,-0.001064079,0.003460653
full_est_ptb,hispanic,-0.00871833,0.00401815,-2.169737192,0.030118324,-0.016593761,-0.0008429
full_est_ptb,hs,-0.02794561,0.010937115,-2.5551173,0.010672466,-0.049381961,-0.00650926
full_est_ptb,insecticide_per_sqr_mile,0.001809706,0.000951642,1.901667488,0.057326624,-5.55E-05,0.003674889
full_est_ptb,insured,0.002835606,0.009653607,0.293735377,0.768983893,-0.016085117,0.021756329
full_est_ptb,marital,-0.016876653,0.008459093,-1.995090212,0.046138708,-0.033456171,-0.000297136
full_est_ptb,maternal_care_code,-0.176397189,0.078435642,-2.248941731,0.024600768,-0.330128223,-0.022666155
full_est_ptb,multiracial,0.025952793,0.025607802,1.013472118,0.310930333,-0.024237576,0.076143162
full_est_ptb,native,0.022630397,0.014570211,1.553196232,0.120499677,-0.005926692,0.051187486
full_est_ptb,pacific,0.102057683,0.096678976,1.055634717,0.291234589,-0.087429627,0.291544993
full_est_ptb,pop_per_sqr_mile,0.00014116,8.30E-05,1.701144533,0.0890371,-2.15E-05,0.000303796
full_est_ptb,poverty,0.056247649,0.009661367,5.821914119,6.54E-09,0.037311717,0.07518358
full_est_ptb,white,0.011799438,0.012605556,0.936050546,0.349335316,-0.012906998,0.036505874
full_test_ptb,acres_ag_land_per_sqr_mile,-0.001166601,0.00036475,-3.198355635,0.001398982,-0.001881498,-0.000451704
full_test_ptb,all_test_wells,2.212704821,0.573293562,3.859636609,0.000116359,1.089070086,3.336339556
full_test_ptb,asian,-0.024310821,0.024056635,-1.01056615,0.312319479,-0.07146096,0.022839318
full_test_ptb,ba,-0.032588813,0.006403625,-5.08911971,3.86E-07,-0.045139688,-0.020037939
full_test_ptb,black,0.063249293,0.013364543,4.732619256,2.34E-06,0.03705527,0.089443316
full_test_ptb,drug_death_per_100000,-0.001483153,0.000563245,-2.633230797,0.00850848,-0.002587093,-0.000379214
full_test_ptb,fertilizer_per_sqr_mile,-0.002663684,0.001393166,-1.91196368,0.055992195,-0.00539424,6.69E-05
full_test_ptb,herbicide_per_sqr_mile,0.001092255,0.00115472,0.945905002,0.344286173,-0.001170954,0.003355465
full_test_ptb,hispanic,-0.008662788,0.004016609,-2.156741775,0.031118476,-0.016535196,-0.000790379
full_test_ptb,hs,-0.028864965,0.010945128,-2.637243178,0.00840876,-0.050317022,-0.007412908
full_test_ptb,insecticide_per_sqr_mile,0.001766651,0.000950892,1.857889184,0.063299305,-9.71E-05,0.003630365
full_test_ptb,insured,0.003439791,0.009662571,0.355991285,0.721876379,-0.015498501,0.022378083
full_test_ptb,marital,-0.016964822,0.008457665,-2.005851827,0.044976933,-0.033541541,-0.000388104
full_test_ptb,maternal_care_code,-0.179511993,0.078378435,-2.290323764,0.022083392,-0.333130904,-0.025893083
full_test_ptb,multiracial,0.028502264,0.025647468,1.111309048,0.266539543,-0.021765851,0.078770378
full_test_ptb,native,0.0236327,0.014599183,1.618768665,0.105620037,-0.004981173,0.052246573
full_test_ptb,pacific,0.10277764,0.096670171,1.063178424,0.287801165,-0.086692413,0.292247692
full_test_ptb,pop_per_sqr_mile,0.000137885,8.30E-05,1.662062054,0.096622572,-2.47E-05,0.000300483
full_test_ptb,poverty,0.056484062,0.009662382,5.845769803,5.68E-09,0.037546141,0.075421983
full_test_ptb,white,0.012710349,0.012634018,1.006041671,0.314490457,-0.012051872,0.03747257
full_all_ptb_2014to2018,acres_ag_land_per_sqr_mile,-0.001166806,0.00036441,-3.201907843,0.001381914,-0.001881036,-0.000452576
full_all_ptb_2014to2018,all_wells_2014to2018,1.228360563,0.289415573,4.244279427,2.27E-05,0.661116463,1.795604663
full_all_ptb_2014to2018,asian,-0.025088021,0.024001034,-1.045289206,0.295987859,-0.072129183,0.02195314
full_all_ptb_2014to2018,ba,-0.032629592,0.006397268,-5.100551357,3.63E-07,-0.045168007,-0.020091178
full_all_ptb_2014to2018,black,0.062223576,0.013296894,4.679557326,3.02E-06,0.036162143,0.088285008
full_all_ptb_2014to2018,drug_death_per_100000,-0.001407727,0.000563567,-2.49788593,0.012555837,-0.002512299,-0.000303155
full_all_ptb_2014to2018,fertilizer_per_sqr_mile,-0.002727008,0.001391998,-1.959060133,0.050213973,-0.005455275,1.26E-06
full_all_ptb_2014to2018,herbicide_per_sqr_mile,0.001149383,0.00115359,0.996352801,0.319172776,-0.001111612,0.003410378
full_all_ptb_2014to2018,hispanic,-0.008914248,0.004016475,-2.219421072,0.02654529,-0.016786394,-0.001042103
full_all_ptb_2014to2018,hs,-0.02845643,0.01093199,-2.603042013,0.009293318,-0.049882738,-0.007030123
full_all_ptb_2014to2018,insecticide_per_sqr_mile,0.001768676,0.000950175,1.861421195,0.062799076,-9.36E-05,0.003630984
full_all_ptb_2014to2018,insured,0.002724605,0.009641027,0.282605239,0.777502275,-0.01617146,0.02162067
full_all_ptb_2014to2018,marital,-0.016787322,0.008453024,-1.985954488,0.047144707,-0.033354945,-0.000219698
full_all_ptb_2014to2018,maternal_care_code,-0.173862056,0.078384111,-2.218077782,0.026636848,-0.327492091,-0.020232021
full_all_ptb_2014to2018,multiracial,0.025250296,0.025573071,0.987378338,0.323550364,-0.024872002,0.075372594
full_all_ptb_2014to2018,native,0.022246987,0.014521364,1.532017701,0.125641434,-0.006214364,0.050708337
full_all_ptb_2014to2018,pacific,0.106133351,0.096628058,1.098369908,0.272146127,-0.083254162,0.295520864
full_all_ptb_2014to2018,pop_per_sqr_mile,0.000142355,8.29E-05,1.71675047,0.086145549,-2.02E-05,0.000304877
full_all_ptb_2014to2018,poverty,0.056339244,0.009653533,5.836126937,6.02E-09,0.037418667,0.075259822
full_all_ptb_2014to2018,white,0.011473152,0.012558608,0.913568697,0.361029417,-0.013141269,0.036087572
full_hor_ptb_2014to2018,acres_ag_land_per_sqr_mile,-0.001157685,0.000364438,-3.176628343,0.001507685,-0.001871971,-0.000443399
full_hor_ptb_2014to2018,all_hormone_wells_2014to2018,2.275788926,0.523147031,4.35018989,1.41E-05,1.250439586,3.301138266
full_hor_ptb_2014to2018,asian,-0.022316362,0.024056629,-0.927659565,0.353671503,-0.069466489,0.024833765
full_hor_ptb_2014to2018,ba,-0.032937893,0.006392437,-5.152634744,2.76E-07,-0.04546684,-0.020408947
full_hor_ptb_2014to2018,black,0.064281625,0.013354968,4.813311792,1.57E-06,0.038106369,0.090456881
full_hor_ptb_2014to2018,drug_death_per_100000,-0.001478705,0.000562791,-2.627451185,0.00865398,-0.002581754,-0.000375655
full_hor_ptb_2014to2018,fertilizer_per_sqr_mile,-0.002741881,0.001391714,-1.970146963,0.048928985,-0.005469589,-1.42E-05
full_hor_ptb_2014to2018,herbicide_per_sqr_mile,0.001131635,0.001153458,0.981080177,0.326645766,-0.001129101,0.00339237
full_hor_ptb_2014to2018,hispanic,-0.008865206,0.004014748,-2.208160108,0.027321311,-0.016733968,-0.000996445
full_hor_ptb_2014to2018,hs,-0.028607529,0.010931027,-2.617094209,0.008920289,-0.050031949,-0.007183109
full_hor_ptb_2014to2018,insecticide_per_sqr_mile,0.001787132,0.000950149,1.880897145,0.060099149,-7.51E-05,0.003649389
full_hor_ptb_2014to2018,insured,0.00343325,0.009648627,0.355827811,0.721998793,-0.015477711,0.022344211
full_hor_ptb_2014to2018,marital,-0.017058377,0.008450716,-2.018571816,0.043635664,-0.033621476,-0.000495278
full_hor_ptb_2014to2018,maternal_care_code,-0.178434281,0.078310057,-2.278561509,0.022775043,-0.331919172,-0.02494939
full_hor_ptb_2014to2018,multiracial,0.027733557,0.025597923,1.083429978,0.278719486,-0.02243745,0.077904564
full_hor_ptb_2014to2018,native,0.024676319,0.014587112,1.691652151,0.090833833,-0.003913895,0.053266532
full_hor_ptb_2014to2018,pacific,0.106107349,0.096608537,1.098322702,0.272166728,-0.083241903,0.295456601
full_hor_ptb_2014to2018,pop_per_sqr_mile,0.000141535,8.29E-05,1.707237742,0.087898942,-2.10E-05,0.000304022
full_hor_ptb_2014to2018,poverty,0.056541068,0.009653314,5.857166761,5.31E-09,0.037620921,0.075461215
full_hor_ptb_2014to2018,white,0.013891206,0.012631235,1.099750429,0.27154412,-0.010865559,0.038647971
full_est_ptb_2014to2018,acres_ag_land_per_sqr_mile,-0.00117957,0.000364611,-3.235151255,0.001231242,-0.001894194,-0.000464947
full_est_ptb_2014to2018,all_est_wells_2014to2018,3.788808207,0.997983535,3.796463645,0.000150178,1.832796422,5.744819992
full_est_ptb_2014to2018,asian,-0.024522366,0.024057501,-1.019323072,0.308145783,-0.071674202,0.02262947
full_est_ptb_2014to2018,ba,-0.033248007,0.006396388,-5.197934422,2.17E-07,-0.045784698,-0.020711316
full_est_ptb_2014to2018,black,0.062455527,0.013339833,4.681882214,2.99E-06,0.036309934,0.088601119
full_est_ptb_2014to2018,drug_death_per_100000,-0.001457848,0.000563517,-2.587054065,0.009734619,-0.002562321,-0.000353376
full_est_ptb_2014to2018,fertilizer_per_sqr_mile,-0.002838226,0.001392919,-2.037610292,0.041691388,-0.005568297,-0.000108155
full_est_ptb_2014to2018,herbicide_per_sqr_mile,0.001191154,0.001154271,1.031953639,0.302191164,-0.001071175,0.003453483
full_est_ptb_2014to2018,hispanic,-0.008655966,0.004017068,-2.154797007,0.031270576,-0.016529274,-0.000782657
full_est_ptb_2014to2018,hs,-0.02786445,0.010936085,-2.547936437,0.010894097,-0.049298783,-0.006430117
full_est_ptb_2014to2018,insecticide_per_sqr_mile,0.001812396,0.000951634,1.904510896,0.056955488,-5.28E-05,0.003677564
full_est_ptb_2014to2018,insured,0.002678938,0.00965054,0.277594671,0.781345903,-0.016235772,0.021593649
full_est_ptb_2014to2018,marital,-0.016865347,0.008458855,-1.9938098,0.046278604,-0.033444398,-0.000286297
full_est_ptb_2014to2018,maternal_care_code,-0.177173587,0.07842008,-2.259288517,0.023949079,-0.33087412,-0.023473054
full_est_ptb_2014to2018,multiracial,0.026202656,0.025610261,1.023131178,0.306342347,-0.023992532,0.076397845
full_est_ptb_2014to2018,native,0.022724013,0.014571547,1.559478449,0.119006595,-0.005835694,0.051283719
full_est_ptb_2014to2018,pacific,0.102136523,0.096676031,1.056482379,0.290847418,-0.087345015,0.291618061
full_est_ptb_2014to2018,pop_per_sqr_mile,0.00014106,8.30E-05,1.700008661,0.089250579,-2.16E-05,0.00030369
full_est_ptb_2014to2018,poverty,0.056180441,0.00966029,5.815606296,6.79E-09,0.037246622,0.075114261
full_est_ptb_2014to2018,white,0.011928938,0.012608604,0.946095024,0.344189271,-0.012783472,0.036641348
full_test_ptb_2014to2018,acres_ag_land_per_sqr_mile,-0.001166151,0.000364653,-3.197973692,0.001400829,-0.001880859,-0.000451444
full_test_ptb_2014to2018,all_test_wells_2014to2018,3.191799163,0.802747912,3.976091517,7.20E-05,1.618442167,4.765156159
full_test_ptb_2014to2018,asian,-0.024729816,0.02403366,-1.028965861,0.303592773,-0.071834924,0.022375292
full_test_ptb_2014to2018,ba,-0.032463616,0.006403741,-5.069476431,4.27E-07,-0.045014719,-0.019912514
full_test_ptb_2014to2018,black,0.063123326,0.013348245,4.728960837,2.38E-06,0.036961247,0.089285405
full_test_ptb_2014to2018,drug_death_per_100000,-0.001473402,0.000563201,-2.616120866,0.008945689,-0.002577255,-0.000369548
full_test_ptb_2014to2018,fertilizer_per_sqr_mile,-0.002653747,0.001392958,-1.905116348,0.05687672,-0.005383894,7.64E-05
full_test_ptb_2014to2018,herbicide_per_sqr_mile,0.001083069,0.001154556,0.938082414,0.348290414,-0.00117982,0.003345957
full_test_ptb_2014to2018,hispanic,-0.008709823,0.004016202,-2.168671844,0.030199262,-0.016581434,-0.000838213
full_test_ptb_2014to2018,hs,-0.028943208,0.010943365,-2.64481792,0.008223353,-0.05039181,-0.007494607
full_test_ptb_2014to2018,insecticide_per_sqr_mile,0.001773172,0.000950742,1.865040298,0.062289908,-9.02E-05,0.003636591
full_test_ptb_2014to2018,insured,0.003252937,0.009655681,0.336893575,0.736224701,-0.015671851,0.022177725
full_test_ptb_2014to2018,marital,-0.016790373,0.008456779,-1.985433738,0.047202603,-0.033365355,-0.000215392
full_test_ptb_2014to2018,maternal_care_code,-0.179427227,0.078360691,-2.289760647,0.022116083,-0.33301136,-0.025843094
full_test_ptb_2014to2018,multiracial,0.028739858,0.025642911,1.120772086,0.262489851,-0.021519323,0.07899904
full_test_ptb_2014to2018,native,0.02339716,0.014578743,1.604881872,0.108642956,-0.005176651,0.051970972
full_test_ptb_2014to2018,pacific,0.102850845,0.096651692,1.0641391,0.287365895,-0.086582991,0.29228468
full_test_ptb_2014to2018,pop_per_sqr_mile,0.000138816,8.29E-05,1.673562334,0.094338624,-2.38E-05,0.000301389
full_test_ptb_2014to2018,poverty,0.056452965,0.009659775,5.844128587,5.74E-09,0.037520155,0.075385775
full_test_ptb_2014to2018,white,0.01252986,0.012615336,0.993224469,0.320694298,-0.012195744,0.037255465
full_all_lbw,acres_ag_land_per_sqr_mile,0.000763601,0.00029353,2.601438915,0.009337252,0.000188292,0.001338909
full_all_lbw,all_wells,0.368165909,0.126440678,2.911767904,0.003625217,0.120346733,0.615985084
full_all_lbw,asian,0.006517847,0.019002659,0.342996586,0.731629412,-0.03072668,0.043762374
full_all_lbw,ba,-0.015211813,0.00508284,-2.992778269,0.002791138,-0.025173996,-0.00524963
full_all_lbw,black,0.108829874,0.010552504,10.31317992,1.85E-24,0.088147346,0.129512403
full_all_lbw,drug_death_per_100000,0.000446727,0.000450826,0.990907864,0.321824957,-0.000436875,0.001330329
full_all_lbw,fertilizer_per_sqr_mile,-0.003678502,0.001113289,-3.304176016,0.000965784,-0.005860507,-0.001496496
full_all_lbw,herbicide_per_sqr_mile,0.00078609,0.000926119,0.848800281,0.39607242,-0.00102907,0.002601251
full_all_lbw,hispanic,-0.000179026,0.003190847,-0.056106019,0.955261762,-0.006432971,0.00607492
full_all_lbw,hs,-0.015531667,0.008798624,-1.765238079,0.077643903,-0.032776653,0.00171332
full_all_lbw,insecticide_per_sqr_mile,0.001153839,0.000769147,1.500154096,0.133698774,-0.000353661,0.002661339
full_all_lbw,insured,0.010755552,0.007676546,1.401092724,0.16130851,-0.004290201,0.025801306
full_all_lbw,marital,-0.019573941,0.00678058,-2.886764901,0.003925122,-0.032863633,-0.006284248
full_all_lbw,maternal_care_code,-0.095176401,0.062698253,-1.518007224,0.129137027,-0.218062719,0.027709917
full_all_lbw,multiracial,0.014257112,0.020327183,0.701381586,0.483129164,-0.025583435,0.054097659
full_all_lbw,native,0.01404651,0.011549214,1.216230865,0.224010001,-0.008589533,0.036682554
full_all_lbw,pacific,0.199742236,0.076502988,2.610907629,0.009083334,0.049799134,0.349685338
full_all_lbw,pop_per_sqr_mile,0.000119892,6.56E-05,1.828813388,0.067544767,-8.60E-06,0.000248383
full_all_lbw,poverty,0.068698051,0.00776026,8.852544507,1.57E-18,0.05348822,0.083907881
full_all_lbw,white,0.037128898,0.009979005,3.720701379,0.000202978,0.017570407,0.056687388
full_hor_lbw,acres_ag_land_per_sqr_mile,0.000775089,0.000293632,2.639658155,0.008349722,0.00019958,0.001350598
full_hor_lbw,all_hormone_wells,0.946465664,0.306517451,3.08780352,0.002038205,0.3457025,1.547228829
full_hor_lbw,asian,0.008074376,0.019040776,0.424057096,0.671560084,-0.029244859,0.045393611
full_hor_lbw,ba,-0.015306819,0.005079914,-3.013204167,0.002610581,-0.025263268,-0.00535037
full_hor_lbw,black,0.110050952,0.010594611,10.38744635,8.80E-25,0.089285896,0.130816007
full_hor_lbw,drug_death_per_100000,0.000418892,0.000450405,0.930033249,0.352442249,-0.000463886,0.001301669
full_hor_lbw,fertilizer_per_sqr_mile,-0.003697142,0.001112954,-3.321917197,0.000906674,-0.005878493,-0.001515792
full_hor_lbw,herbicide_per_sqr_mile,0.000785606,0.000925898,0.848480521,0.396250368,-0.00102912,0.002600332
full_hor_lbw,hispanic,-0.000150866,0.003188714,-0.04731261,0.962267797,-0.006400631,0.006098898
full_hor_lbw,hs,-0.015633275,0.008797356,-1.777042399,0.075680911,-0.032875776,0.001609226
full_hor_lbw,insecticide_per_sqr_mile,0.00115879,0.00076897,1.506938047,0.131950892,-0.000348363,0.002665943
full_hor_lbw,insured,0.011100749,0.00768091,1.445238755,0.148514192,-0.003953558,0.026155056
full_hor_lbw,marital,-0.019635841,0.006779023,-2.896559406,0.003805051,-0.032922481,-0.006349201
full_hor_lbw,maternal_care_code,-0.096685191,0.062649567,-1.543269902,0.122889874,-0.219476086,0.026105704
full_hor_lbw,multiracial,0.015133078,0.020335642,0.744165236,0.456845353,-0.024724048,0.054990203
full_hor_lbw,native,0.015389568,0.011594292,1.327340118,0.184515489,-0.007334826,0.038113962
full_hor_lbw,pacific,0.201115226,0.076496485,2.629077992,0.008613286,0.05118487,0.351045582
full_hor_lbw,pop_per_sqr_mile,0.000121299,6.55E-05,1.850530999,0.064353098,-7.17E-06,0.000249772
full_hor_lbw,poverty,0.06882132,0.007759583,8.869203861,1.36E-18,0.053612818,0.084029823
full_hor_lbw,white,0.038499485,0.010030604,3.838202218,0.000126963,0.018839863,0.058159106
full_est_lbw,acres_ag_land_per_sqr_mile,0.00075882,0.000293647,2.584123125,0.009818035,0.000183282,0.001334357
full_est_lbw,all_est_wells,1.544141947,0.600527445,2.571309536,0.010187898,0.367129782,2.721154112
full_est_lbw,asian,0.006530536,0.019033742,0.343103108,0.731549287,-0.030774914,0.043835986
full_est_lbw,ba,-0.01548558,0.00508175,-3.047293088,0.002332892,-0.025445626,-0.005525534
full_est_lbw,black,0.1088508,0.010579803,10.2885468,2.37E-24,0.088114767,0.129586834
full_est_lbw,drug_death_per_100000,0.000429401,0.000450829,0.952468828,0.340949894,-0.000454208,0.00131301
full_est_lbw,fertilizer_per_sqr_mile,-0.003753067,0.001113542,-3.370386328,0.000761849,-0.00593557,-0.001570565
full_est_lbw,herbicide_per_sqr_mile,0.000825481,0.000926226,0.891230714,0.372889824,-0.000989889,0.002640851
full_est_lbw,hispanic,1.85E-05,0.003189039,0.005803302,0.995370117,-0.006231894,0.006268908
full_est_lbw,hs,-0.015240427,0.008799631,-1.731939315,0.083405774,-0.032487387,0.002006533
full_est_lbw,insecticide_per_sqr_mile,0.001163794,0.000769865,1.511686816,0.130737952,-0.000345113,0.002672701
full_est_lbw,insured,0.010561649,0.007678836,1.375423192,0.169121569,-0.004488593,0.02561189
full_est_lbw,marital,-0.019467627,0.006783645,-2.869788702,0.004141416,-0.032763327,-0.006171928
full_est_lbw,maternal_care_code,-0.096214085,0.062725212,-1.53389811,0.125179262,-0.219153242,0.026725072
full_est_lbw,multiracial,0.014234887,0.020341512,0.699794941,0.484119458,-0.025633744,0.054103518
full_est_lbw,native,0.014084432,0.011577792,1.216504146,0.223905962,-0.008607623,0.036776487
full_est_lbw,pacific,0.198576688,0.076526304,2.594881463,0.009516794,0.048587888,0.348565487
full_est_lbw,pop_per_sqr_mile,0.00012112,6.56E-05,1.846685092,0.064909047,-7.43E-06,0.000249669
full_est_lbw,poverty,0.068570497,0.007762863,8.833144914,1.86E-18,0.053355564,0.08378543
full_est_lbw,white,0.037207625,0.010009242,3.717327062,0.000205692,0.017589872,0.056825378
full_test_lbw,acres_ag_land_per_sqr_mile,0.00076596,0.000293761,2.607428162,0.009175915,0.000190199,0.00134172
full_test_lbw,all_test_wells,1.199618723,0.455218059,2.635261716,0.008458353,0.307407723,2.091829724
full_test_lbw,asian,0.006745543,0.01903599,0.354357345,0.723100512,-0.030564312,0.044055398
full_test_lbw,ba,-0.015140175,0.005087063,-2.976211704,0.002945883,-0.025110635,-0.005169716
full_test_lbw,black,0.109373243,0.010602975,10.31533555,1.81E-24,0.088591794,0.130154692
full_test_lbw,drug_death_per_100000,0.00041592,0.000450645,0.922945423,0.356123309,-0.000467327,0.001299168
full_test_lbw,fertilizer_per_sqr_mile,-0.003662664,0.001113796,-3.288452007,0.001021139,-0.005845664,-0.001479665
full_test_lbw,herbicide_per_sqr_mile,0.00077426,0.000926604,0.835589279,0.403464594,-0.00104185,0.00259037
full_test_lbw,hispanic,4.40E-05,0.003188079,0.013798931,0.988991479,-0.006204528,0.006292512
full_test_lbw,hs,-0.015734732,0.008805686,-1.786883102,0.0740756,-0.03299356,0.001524096
full_test_lbw,insecticide_per_sqr_mile,0.001139035,0.000769292,1.480627431,0.138829907,-0.00036875,0.00264682
full_test_lbw,insured,0.010886834,0.007686426,1.41637147,0.156789394,-0.004178284,0.025951952
full_test_lbw,marital,-0.019514555,0.006782917,-2.87701531,0.004048053,-0.032808828,-0.006220283
full_test_lbw,maternal_care_code,-0.097774233,0.062685199,-1.559765847,0.118939804,-0.220634966,0.0250865
full_test_lbw,multiracial,0.01560295,0.020374088,0.765823232,0.443852647,-0.024329528,0.055535427
full_test_lbw,native,0.014642031,0.011601623,1.262067462,0.207040385,-0.008096733,0.037380795
full_test_lbw,pacific,0.198945298,0.076523628,2.599789166,0.009382134,0.048961744,0.348928852
full_test_lbw,pop_per_sqr_mile,0.000119355,6.56E-05,1.820094765,0.068862217,-9.17E-06,0.000247882
full_test_lbw,poverty,0.06872171,0.007764598,8.850645966,1.60E-18,0.053503377,0.083940043
full_test_lbw,white,0.037725011,0.010033233,3.760005419,0.000173744,0.018060236,0.057389787
full_all_lbw_2014to2018,acres_ag_land_per_sqr_mile,0.000761387,0.000293667,2.592684658,0.009577627,0.000185809,0.001336964
full_all_lbw_2014to2018,all_wells_2014to2018,0.602379897,0.229578196,2.623854999,0.008746119,0.152414901,1.052344893
full_all_lbw_2014to2018,asian,0.005790115,0.019001074,0.304725678,0.760600056,-0.031451306,0.043031537
full_all_lbw_2014to2018,ba,-0.015223687,0.005085475,-2.993562309,0.002784002,-0.025191036,-0.005256339
full_all_lbw_2014to2018,black,0.108445223,0.010555189,10.27411526,2.74E-24,0.087757434,0.129133013
full_all_lbw_2014to2018,drug_death_per_100000,0.000451242,0.000451152,1.000201038,0.317308501,-0.000432999,0.001335483
full_all_lbw_2014to2018,fertilizer_per_sqr_mile,-0.003697528,0.001113558,-3.32046224,0.000911392,-0.005880063,-0.001514994
full_all_lbw_2014to2018,herbicide_per_sqr_mile,0.000806189,0.000926293,0.870339356,0.384197221,-0.001009312,0.00262169
full_all_lbw_2014to2018,hispanic,-3.98E-05,0.003189964,-0.012465094,0.990055531,-0.006291979,0.006212452
